Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,-0.131410470422,0.209339302317,196.830832482,0.229417467376,0.217517801968,37.8998507863
2,-0.0446793799251,-0.00274671232938,210.603841404,0.45360038339,0.410762776541,36.1910734265
3,-0.623132329457,-0.426537777121,190.194974002,0.549209423834,0.43175227779,36.1910734265
4,-0.277523253548,-0.678305043253,167.580631267,0.635343093122,0.530330016552,27.467233829
5,-0.591368145583,-1.51544422905,116.28180813,0.704015515971,0.499384829367,27.467233829
6,-0.620405209315,-1.5598158005,114.540308572,0.901056831348,0.595057822876,29.8123254092
7,-0.517912757019,-1.38748908044,121.873763977,0.988070184115,0.662399743158,32.3031838639
8,-0.457701687177,-1.12699885612,130.28389904,1.16982147812,0.764917191117,32.3031838639
9,-0.0649577044852,-0.830596764237,132.031684796,1.1956368895,0.814837536643,26.5853963083
10,0.263940469289,-0.350747895126,154.828195494,1.32939597417,0.877286981651,29.9023715139
11,0.725335950973,0.131762359051,180.574206806,1.48281266414,0.993878572783,29.9023715139
12,0.730508951914,-0.309481089231,156.635778256,1.73934583408,1.07153434951,34.2997756003
13,1.09187387595,0.753512011947,197.762077936,1.84508758273,1.18257832859,32.6356822904
14,2.0461187549,1.39293737896,237.885065578,1.98476694914,1.27165894999,32.6356822904
15,2.13272938445,2.05987652535,241.577942769,2.20338994141,1.35987865074,19.1410597958
16,2.15646841502,2.6807884108,259.09768781,2.27999111923,1.35137685827,19.1410597958
17,2.37751402004,3.46514963652,285.406278726,2.50618609376,1.45634069841,20.8830377642
18,2.55852842334,3.77330794642,293.934591751,2.72027077239,1.57745624902,24.1907396115
19,2.61718315745,3.87897666297,299.159355501,2.79680584252,1.54457479851,25.6594186122
20,2.82482830264,4.04942633984,303.764984484,3.01610692968,1.68887802168,29.6838141783
21,3.02354233023,4.1608191146,296.062118232,3.25067448877,1.79362168213,21.9809479262
22,3.11142834424,4.16963437871,296.288095504,3.4106219015,1.86273433398,22.2069251992
23,3.30691148347,4.30328715988,294.772465374,3.56881256541,1.91213749751,20.691295069
24,3.36624584704,4.71738583704,27.3482224346,3.4895664718,2.29289868831,113.267052129
25,3.36490889476,4.74447480918,68.5226225663,3.52061425818,2.29332141836,154.441452261
26,3.33656073518,4.71687278553,87.7399987884,3.52969005807,2.36500433328,173.658828483
27,3.33656073518,4.71687278553,87.7399987884,3.5322374986,2.39870393471,173.658828483
28,3.36141168797,4.63589446388,113.24820535,3.54523604053,2.30213350636,199.167035044
29,3.04128835614,4.283301829,145.691373162,3.16364576992,1.78405407669,231.610202857
30,2.90602818903,4.09566977223,145.232419581,3.09556851408,1.70649596759,231.151249276
31,2.90602818903,4.09566977223,145.232419581,3.04109470125,1.59086257059,231.151249276
32,2.75795916018,3.88989756419,138.47936965,2.96080157448,1.51075028685,224.398199344
33,2.75795916018,3.88989756419,138.47936965,2.87536515775,1.52864483808,224.398199344
34,2.69047211186,3.88376096307,135.636820009,2.88339861839,1.52950107666,221.555649703
35,2.69047211186,3.88376096307,135.636820009,2.88032519319,1.48721206652,221.555649703
36,2.52173082724,3.68708905867,131.976263076,2.71347920332,1.33217190551,217.89509277
37,2.52173082724,3.68708905867,131.976263076,2.72327786143,1.29150565066,217.89509277
38,2.34859912153,3.52621245107,127.034953511,2.54212242401,1.17485330392,212.953783206
39,2.34859912153,3.52621245107,127.034953511,2.49852178451,1.18305571452,212.953783206
40,2.26031881075,3.51724770901,127.204289172,2.45630458238,1.17087700255,213.123118867
41,2.26031881075,3.51724770901,127.204289172,2.44544495397,1.11431047769,213.123118867
42,2.06924345143,3.36781116405,126.140041918,2.25928502081,1.02427097555,212.058871612
